fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501a,ok
fabrizio2,maturo2,f.maturo4@gebsoftware.com,mtrfrz78a11h501b,ok
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501a,duplicato
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501c,ok
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501d,ok
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501e,ok
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501d,duplicato
﻿fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501a,duplicato
fabrizio2,maturo2,f.maturo4@gebsoftware.com,mtrfrz78a11h501b,duplicato
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501a,duplicato
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501c,duplicato
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501d,ok
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501e,duplicato
fabrizio,maturo,f_maturo2@hotmail.com,mtrfrz78a11h501d,duplicato
sdfsdf,sdfsdf,sdfsf@sdf.sdf,sdfsdfsdfsd,ok
